period,stateid,stateDescription,sectorid,sectorName,price,price-units
2024-04,US,U.S. Total,ALL,all sectors,12.71,cents per kilowatthour
2024-04,US,U.S. Total,TRA,transportation,12.64,cents per kilowatthour
2024-04,US,U.S. Total,RES,residential,16.88,cents per kilowatthour
2024-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2024-04,US,U.S. Total,IND,industrial,7.82,cents per kilowatthour
2024-04,US,U.S. Total,COM,commercial,12.66,cents per kilowatthour
2024-03,US,U.S. Total,ALL,all sectors,12.73,cents per kilowatthour
2024-03,US,U.S. Total,TRA,transportation,11.91,cents per kilowatthour
2024-03,US,U.S. Total,RES,residential,16.68,cents per kilowatthour
2024-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2024-03,US,U.S. Total,IND,industrial,7.73,cents per kilowatthour
2024-03,US,U.S. Total,COM,commercial,12.76,cents per kilowatthour
2024-02,US,U.S. Total,ALL,all sectors,12.8,cents per kilowatthour
2024-02,US,U.S. Total,TRA,transportation,13.2,cents per kilowatthour
2024-02,US,U.S. Total,RES,residential,16.1,cents per kilowatthour
2024-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2024-02,US,U.S. Total,IND,industrial,7.81,cents per kilowatthour
2024-02,US,U.S. Total,COM,commercial,12.81,cents per kilowatthour
2024-01,US,U.S. Total,ALL,all sectors,12.73,cents per kilowatthour
2024-01,US,U.S. Total,TRA,transportation,12.68,cents per kilowatthour
2024-01,US,U.S. Total,RES,residential,15.45,cents per kilowatthour
2024-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2024-01,US,U.S. Total,IND,industrial,8.1,cents per kilowatthour
2024-01,US,U.S. Total,COM,commercial,12.68,cents per kilowatthour
2023-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-12,US,U.S. Total,IND,industrial,7.66,cents per kilowatthour
2023-12,US,U.S. Total,COM,commercial,12.39,cents per kilowatthour
2023-12,US,U.S. Total,ALL,all sectors,12.41,cents per kilowatthour
2023-12,US,U.S. Total,TRA,transportation,12.33,cents per kilowatthour
2023-12,US,U.S. Total,RES,residential,15.73,cents per kilowatthour
2023-11,US,U.S. Total,COM,commercial,12.62,cents per kilowatthour
2023-11,US,U.S. Total,ALL,all sectors,12.5,cents per kilowatthour
2023-11,US,U.S. Total,TRA,transportation,12.56,cents per kilowatthour
2023-11,US,U.S. Total,RES,residential,16.19,cents per kilowatthour
2023-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-11,US,U.S. Total,IND,industrial,7.81,cents per kilowatthour
2023-10,US,U.S. Total,ALL,all sectors,12.59,cents per kilowatthour
2023-10,US,U.S. Total,TRA,transportation,12.77,cents per kilowatthour
2023-10,US,U.S. Total,RES,residential,16.2,cents per kilowatthour
2023-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-10,US,U.S. Total,IND,industrial,8.01,cents per kilowatthour
2023-10,US,U.S. Total,COM,commercial,12.86,cents per kilowatthour
2023-09,US,U.S. Total,ALL,all sectors,13.19,cents per kilowatthour
2023-09,US,U.S. Total,TRA,transportation,14.27,cents per kilowatthour
2023-09,US,U.S. Total,RES,residential,16.29,cents per kilowatthour
2023-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-09,US,U.S. Total,IND,industrial,8.44,cents per kilowatthour
2023-09,US,U.S. Total,COM,commercial,13.23,cents per kilowatthour
2023-08,US,U.S. Total,ALL,all sectors,13.3,cents per kilowatthour
2023-08,US,U.S. Total,TRA,transportation,13.18,cents per kilowatthour
2023-08,US,U.S. Total,RES,residential,15.93,cents per kilowatthour
2023-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-08,US,U.S. Total,IND,industrial,8.87,cents per kilowatthour
2023-08,US,U.S. Total,COM,commercial,13.24,cents per kilowatthour
2023-07,US,U.S. Total,ALL,all sectors,13.1,cents per kilowatthour
2023-07,US,U.S. Total,TRA,transportation,12.69,cents per kilowatthour
2023-07,US,U.S. Total,RES,residential,15.89,cents per kilowatthour
2023-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-07,US,U.S. Total,IND,industrial,8.32,cents per kilowatthour
2023-07,US,U.S. Total,COM,commercial,13.07,cents per kilowatthour
2023-06,US,U.S. Total,ALL,all sectors,12.75,cents per kilowatthour
2023-06,US,U.S. Total,TRA,transportation,12.36,cents per kilowatthour
2023-06,US,U.S. Total,RES,residential,16.11,cents per kilowatthour
2023-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-06,US,U.S. Total,IND,industrial,8.08,cents per kilowatthour
2023-06,US,U.S. Total,COM,commercial,12.77,cents per kilowatthour
2023-05,US,U.S. Total,ALL,all sectors,12.25,cents per kilowatthour
2023-05,US,U.S. Total,TRA,transportation,12.36,cents per kilowatthour
2023-05,US,U.S. Total,RES,residential,16.15,cents per kilowatthour
2023-05,US,U.S. Total,OTH,other,,cents per kilowatthour
