period,stateid,stateDescription,sectorid,sectorName,customers,price,customers-units,price-units
2024-03,TX,Texas,ALL,all sectors,14220334,9.51,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,TRA,transportation,2,9.4,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,RES,residential,2941671,29.66,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,OTH,other,,,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,IND,industrial,10192,17.97,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,COM,commercial,466199,20.78,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,ALL,all sectors,3418064,24,number of customers,cents per kilowatthour
2024-03,FL,Florida,TRA,transportation,2,12.09,number of customers,cents per kilowatthour
2024-03,FL,Florida,RES,residential,10330697,14.69,number of customers,cents per kilowatthour
2024-03,FL,Florida,OTH,other,,,number of customers,cents per kilowatthour
2024-03,FL,Florida,IND,industrial,26660,8.72,number of customers,cents per kilowatthour
2024-03,FL,Florida,COM,commercial,1290983,11.5,number of customers,cents per kilowatthour
2024-03,FL,Florida,ALL,all sectors,11648342,12.87,number of customers,cents per kilowatthour
2024-03,CO,Colorado,TRA,transportation,1,9.7,number of customers,cents per kilowatthour
2024-03,CO,Colorado,RES,residential,2483856,14.64,number of customers,cents per kilowatthour
2024-03,CO,Colorado,OTH,other,,,number of customers,cents per kilowatthour
2024-03,CO,Colorado,IND,industrial,14872,8.38,number of customers,cents per kilowatthour
2024-03,CO,Colorado,COM,commercial,397196,11.08,number of customers,cents per kilowatthour
2024-03,CO,Colorado,ALL,all sectors,2895925,11.51,number of customers,cents per kilowatthour
2024-03,CA,California,TRA,transportation,12,15.2,number of customers,cents per kilowatthour
2024-03,CA,California,RES,residential,14111959,32.47,number of customers,cents per kilowatthour
2024-03,CA,California,OTH,other,,,number of customers,cents per kilowatthour
2024-03,CA,California,IND,industrial,146529,18.96,number of customers,cents per kilowatthour
2024-03,CA,California,COM,commercial,1770149,23.7,number of customers,cents per kilowatthour
2024-03,CA,California,ALL,all sectors,16028649,25.81,number of customers,cents per kilowatthour
2024-03,OH,Ohio,TRA,transportation,2,7.05,number of customers,cents per kilowatthour
2024-03,OH,Ohio,RES,residential,5107389,16.28,number of customers,cents per kilowatthour
2024-03,OH,Ohio,OTH,other,,,number of customers,cents per kilowatthour
2024-03,OH,Ohio,IND,industrial,18476,7.12,number of customers,cents per kilowatthour
2024-03,OH,Ohio,COM,commercial,626418,11.33,number of customers,cents per kilowatthour
2024-03,OH,Ohio,ALL,all sectors,5752285,11.36,number of customers,cents per kilowatthour
2024-03,NY,New York,TRA,transportation,8,14.5,number of customers,cents per kilowatthour
2024-03,NY,New York,RES,residential,7398804,23.64,number of customers,cents per kilowatthour
2024-03,NY,New York,OTH,other,,,number of customers,cents per kilowatthour
2024-03,NY,New York,IND,industrial,16759,8.01,number of customers,cents per kilowatthour
2024-03,NY,New York,COM,commercial,1160415,17.46,number of customers,cents per kilowatthour
2024-03,NY,New York,ALL,all sectors,8575986,18.42,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,TRA,transportation,1,11.91,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,RES,residential,2591853,14.69,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,OTH,other,,,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,IND,industrial,9075,8.96,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,COM,commercial,307539,11.83,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,ALL,all sectors,2908468,11.92,number of customers,cents per kilowatthour
2024-03,WA,Washington,TRA,transportation,5,11.3,number of customers,cents per kilowatthour
2024-03,WA,Washington,RES,residential,3349440,11.72,number of customers,cents per kilowatthour
2024-03,WA,Washington,OTH,other,,,number of customers,cents per kilowatthour
2024-03,WA,Washington,IND,industrial,26135,6.21,number of customers,cents per kilowatthour
2024-03,WA,Washington,COM,commercial,408765,10.63,number of customers,cents per kilowatthour
2024-03,WA,Washington,ALL,all sectors,3784345,10.16,number of customers,cents per kilowatthour
2024-03,TX,Texas,TRA,transportation,2,4.18,number of customers,cents per kilowatthour
2024-03,TX,Texas,RES,residential,12276977,14.92,number of customers,cents per kilowatthour
2024-03,TX,Texas,OTH,other,,,number of customers,cents per kilowatthour
2024-03,TX,Texas,IND,industrial,361039,5.72,number of customers,cents per kilowatthour
2024-03,TX,Texas,COM,commercial,1582316,8.78,number of customers,cents per kilowatthour
2024-02,CA,California,ALL,all sectors,15711607,25.37,number of customers,cents per kilowatthour
2024-02,OH,Ohio,TRA,transportation,2,6.15,number of customers,cents per kilowatthour
2024-02,OH,Ohio,RES,residential,5105679,15.77,number of customers,cents per kilowatthour
2024-02,OH,Ohio,OTH,other,,,number of customers,cents per kilowatthour
2024-02,OH,Ohio,IND,industrial,18860,7.07,number of customers,cents per kilowatthour
2024-02,OH,Ohio,COM,commercial,625635,11.2,number of customers,cents per kilowatthour
2024-02,OH,Ohio,ALL,all sectors,5750176,11.46,number of customers,cents per kilowatthour
2024-02,NY,New York,TRA,transportation,8,15.29,number of customers,cents per kilowatthour
2024-02,NY,New York,RES,residential,7395650,24.23,number of customers,cents per kilowatthour
2024-02,NY,New York,OTH,other,,,number of customers,cents per kilowatthour
2024-02,NY,New York,IND,industrial,6981,7.26,number of customers,cents per kilowatthour
2024-02,NY,New York,COM,commercial,1171187,18.58,number of customers,cents per kilowatthour
2024-02,NY,New York,ALL,all sectors,8573826,19.37,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,TRA,transportation,1,12.08,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,RES,residential,2585677,14.36,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,OTH,other,,,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,IND,industrial,9074,8.94,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,COM,commercial,306993,11.68,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,ALL,all sectors,2901745,11.82,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,TRA,transportation,2,9.54,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,RES,residential,2943223,29.25,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,OTH,other,,,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,IND,industrial,10576,17.99,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,COM,commercial,462335,21.37,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,ALL,all sectors,3416136,24.23,number of customers,cents per kilowatthour
2024-02,WA,Washington,TRA,transportation,5,11.39,number of customers,cents per kilowatthour
2024-02,WA,Washington,RES,residential,3331632,11.4,number of customers,cents per kilowatthour
2024-02,WA,Washington,OTH,other,,,number of customers,cents per kilowatthour
2024-02,WA,Washington,IND,industrial,26145,6.51,number of customers,cents per kilowatthour
2024-02,WA,Washington,COM,commercial,406201,10.74,number of customers,cents per kilowatthour
2024-02,WA,Washington,ALL,all sectors,3763983,10.15,number of customers,cents per kilowatthour
2024-02,TX,Texas,TRA,transportation,2,4.57,number of customers,cents per kilowatthour
2024-02,TX,Texas,RES,residential,12253213,14.31,number of customers,cents per kilowatthour
2024-02,TX,Texas,OTH,other,,,number of customers,cents per kilowatthour
2024-02,TX,Texas,IND,industrial,353892,5.97,number of customers,cents per kilowatthour
2024-02,TX,Texas,COM,commercial,1586223,8.67,number of customers,cents per kilowatthour
2024-02,TX,Texas,ALL,all sectors,14193330,9.68,number of customers,cents per kilowatthour
2024-02,FL,Florida,TRA,transportation,2,11.74,number of customers,cents per kilowatthour
2024-02,FL,Florida,RES,residential,10312653,15.28,number of customers,cents per kilowatthour
2024-02,FL,Florida,OTH,other,,,number of customers,cents per kilowatthour
2024-02,FL,Florida,IND,industrial,26721,9.32,number of customers,cents per kilowatthour
2024-02,FL,Florida,COM,commercial,1290143,12.17,number of customers,cents per kilowatthour
2024-02,FL,Florida,ALL,all sectors,11629519,13.57,number of customers,cents per kilowatthour
2024-02,CO,Colorado,TRA,transportation,1,9.82,number of customers,cents per kilowatthour
2024-02,CO,Colorado,RES,residential,2481044,14.47,number of customers,cents per kilowatthour
2024-02,CO,Colorado,OTH,other,,,number of customers,cents per kilowatthour
2024-02,CO,Colorado,IND,industrial,14855,8.75,number of customers,cents per kilowatthour
2024-02,CO,Colorado,COM,commercial,396156,11.02,number of customers,cents per kilowatthour
2024-02,CO,Colorado,ALL,all sectors,2892056,11.68,number of customers,cents per kilowatthour
2024-02,CA,California,TRA,transportation,12,16.18,number of customers,cents per kilowatthour
2024-02,CA,California,RES,residential,13830560,31.23,number of customers,cents per kilowatthour
2024-02,CA,California,OTH,other,,,number of customers,cents per kilowatthour
2024-02,CA,California,IND,industrial,141130,18.07,number of customers,cents per kilowatthour
2024-02,CA,California,COM,commercial,1739905,23.61,number of customers,cents per kilowatthour
2024-01,MA,Massachusetts,ALL,all sectors,3350221,23.88,number of customers,cents per kilowatthour
2024-01,WA,Washington,TRA,transportation,5,10.52,number of customers,cents per kilowatthour
2024-01,WA,Washington,RES,residential,3354902,11.09,number of customers,cents per kilowatthour
2024-01,WA,Washington,OTH,other,,,number of customers,cents per kilowatthour
2024-01,WA,Washington,IND,industrial,26541,6.58,number of customers,cents per kilowatthour
2024-01,WA,Washington,COM,commercial,409575,10.52,number of customers,cents per kilowatthour
2024-01,WA,Washington,ALL,all sectors,3791023,10.06,number of customers,cents per kilowatthour
2024-01,TX,Texas,TRA,transportation,3,6.98,number of customers,cents per kilowatthour
2024-01,TX,Texas,RES,residential,12232646,14.25,number of customers,cents per kilowatthour
2024-01,TX,Texas,OTH,other,,,number of customers,cents per kilowatthour
2024-01,TX,Texas,IND,industrial,351366,6.44,number of customers,cents per kilowatthour
2024-01,TX,Texas,COM,commercial,1568046,9.02,number of customers,cents per kilowatthour
2024-01,TX,Texas,ALL,all sectors,14152061,10.17,number of customers,cents per kilowatthour
2024-01,CO,Colorado,TRA,transportation,1,9.99,number of customers,cents per kilowatthour
2024-01,CO,Colorado,RES,residential,2477122,14.26,number of customers,cents per kilowatthour
2024-01,CO,Colorado,OTH,other,,,number of customers,cents per kilowatthour
2024-01,CO,Colorado,IND,industrial,14716,8.28,number of customers,cents per kilowatthour
2024-01,CO,Colorado,COM,commercial,395013,10.84,number of customers,cents per kilowatthour
2024-01,CO,Colorado,ALL,all sectors,2886852,11.46,number of customers,cents per kilowatthour
2024-01,CA,California,TRA,transportation,12,17.06,number of customers,cents per kilowatthour
2024-01,CA,California,RES,residential,14275640,29.49,number of customers,cents per kilowatthour
2024-01,CA,California,OTH,other,,,number of customers,cents per kilowatthour
2024-01,CA,California,IND,industrial,150477,17.95,number of customers,cents per kilowatthour
2024-01,CA,California,COM,commercial,1796854,22.93,number of customers,cents per kilowatthour
2024-01,CA,California,ALL,all sectors,16222983,24.61,number of customers,cents per kilowatthour
2024-01,FL,Florida,TRA,transportation,2,11.82,number of customers,cents per kilowatthour
